ensembl_gene_id	description	external_gene_name	gene_biotype
AT5G22788	other RNA [Source:TAIR;Acc:AT5G22788]		otherRNA
AT1G70581	other RNA [Source:TAIR;Acc:AT1G70581]		otherRNA
AT4G30975	other RNA [Source:TAIR;Acc:AT4G30975]		otherRNA
AT1G58808	Unknown gene [Source:TAIR;Acc:AT1G58808]		otherRNA
AT3G04485	other RNA [Source:TAIR;Acc:AT3G04485]		otherRNA
AT3G08410			otherRNA
AT5G23410	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: FKF1 (FLAVIN-BINDING, KELCH REPEAT, F BOX 1); signal transducer/ two-component sen /.../biquitin-protein ligase (TAIR:AT1G68050.1); Has 53 Blast hits to 53 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 53; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT5G23410]		otherRNA
AT4G05365			otherRNA
AT5G43725	other RNA [Source:TAIR;Acc:AT5G43725]		otherRNA
AT1G25175	other RNA [Source:TAIR;Acc:AT1G25175]		otherRNA
AT1G11592	other RNA [Source:TAIR;Acc:AT1G11592]		otherRNA
AT4G26255	other RNA [Source:TAIR;Acc:AT4G26255]		otherRNA
AT2G09155			otherRNA
AT1G70185	other RNA [Source:TAIR;Acc:AT1G70185]		otherRNA
AT4G23205	other RNA [Source:TAIR;Acc:AT4G23205]		otherRNA
AT4G08035	other RNA [Source:TAIR;Acc:AT4G08035]		otherRNA
AT1G26235	other RNA [Source:TAIR;Acc:AT1G26235]		otherRNA
AT1G34418	other RNA [Source:TAIR;Acc:AT1G34418]		otherRNA
AT3G57157	other RNA [Source:TAIR;Acc:AT3G57157]		otherRNA
AT1G08823			otherRNA
AT4G40065	other RNA [Source:TAIR;Acc:AT4G40065]		otherRNA
AT1G64572	Unknown gene [Source:TAIR;Acc:AT1G64572]		otherRNA
AT3G60238	Unknown gene [Source:TAIR;Acc:AT3G60238]		otherRNA
AT5G28262	other RNA [Source:TAIR;Acc:AT5G28262]		otherRNA
AT2G39681	TAS2; other RNA [Source:TAIR;Acc:AT2G39681]	TAS2	otherRNA
AT4G05940			otherRNA
AT4G04315	other RNA [Source:TAIR;Acc:AT4G04315]		otherRNA
AT5G02135			otherRNA
AT5G34871	other RNA [Source:TAIR;Acc:AT5G34871]		otherRNA
AT5G38005	other RNA [Source:TAIR;Acc:AT5G38005]		otherRNA
AT4G39404	other RNA [Source:TAIR;Acc:AT4G39404]		otherRNA
AT2G42388	other RNA [Source:TAIR;Acc:AT2G42388]		otherRNA
AT1G31935	other RNA [Source:TAIR;Acc:AT1G31935]		otherRNA
AT2G07975			otherRNA
AT2G07575			otherRNA
AT5G43403	other RNA [Source:TAIR;Acc:AT5G43403]		otherRNA
AT3G05185			otherRNA
AT1G11175	other RNA [Source:TAIR;Acc:AT1G11175]		otherRNA
AT5G37485	other RNA [Source:TAIR;Acc:AT5G37485]		otherRNA
AT1G49952	other RNA [Source:TAIR;Acc:AT1G49952]		otherRNA
AT3G59765	other RNA [Source:TAIR;Acc:AT3G59765]		otherRNA
AT3G07635			otherRNA
AT3G03695			otherRNA
AT4G03811	other RNA [Source:TAIR;Acc:AT4G03811]		otherRNA
AT2G18735	other RNA [Source:TAIR;Acc:AT2G18735]		otherRNA
AT1G66173	other RNA [Source:TAIR;Acc:AT1G66173]		otherRNA
AT1G58590	other RNA [Source:TAIR;Acc:AT1G58590]		otherRNA
AT1G49832			otherRNA
AT1G21529			otherRNA
AT1G09583			otherRNA
AT4G13495	other RNA [Source:TAIR;Acc:AT4G13495]		otherRNA
AT3G17185	TAS3/TASIR-ARF (TRANS-ACTING SIRNA3); other RNA [Source:TAIR;Acc:AT3G17185]	TASIR-ARF	otherRNA
AT2G15555	other RNA [Source:TAIR;Acc:AT2G15555]		otherRNA
AT1G55525	other RNA [Source:TAIR;Acc:AT1G55525]		otherRNA
AT1G05813			otherRNA
AT1G07257			otherRNA
AT4G14548	other RNA [Source:TAIR;Acc:AT4G14548]		otherRNA
AT5G28824	other RNA [Source:TAIR;Acc:AT5G28824]		otherRNA
AT3G13277	other RNA [Source:TAIR;Acc:AT3G13277]		otherRNA
AT1G77138	other RNA [Source:TAIR;Acc:AT1G77138]		otherRNA
AT1G64618	other RNA [Source:TAIR;Acc:AT1G64618]		otherRNA
AT1G70518	Unknown gene [Source:TAIR;Acc:AT1G70518]		otherRNA
AT5G08575			otherRNA
AT2G44995	Unknown gene [Source:TAIR;Acc:AT2G44995]		otherRNA
AT1G50055	TAS1B; other RNA [Source:TAIR;Acc:AT1G50055]	TAS1B	otherRNA
AT3G14185	other RNA [Source:TAIR;Acc:AT3G14185]		otherRNA
AT1G23052			otherRNA
AT4G02005	other RNA [Source:TAIR;Acc:AT4G02005]		otherRNA
AT1G34392	Unknown gene [Source:TAIR;Acc:AT1G34392]		otherRNA
AT2G30945			otherRNA
AT2G14878			otherRNA
AT4G15242	other RNA [Source:TAIR;Acc:AT4G15242]		otherRNA
AT3G46614	Unknown gene [Source:TAIR;Acc:AT3G46614]		otherRNA
AT1G33615	other RNA [Source:TAIR;Acc:AT1G33615]		otherRNA
AT5G49615	TAS3b (trans-acting siRNA 3b); other RNA [Source:TAIR;Acc:AT5G49615]	TAS3b	otherRNA
AT4G16748			otherRNA
AT4G12917	other RNA [Source:TAIR;Acc:AT4G12917]		otherRNA
AT4G10507	other RNA [Source:TAIR;Acc:AT4G10507]		otherRNA
AT3G07215	other RNA [Source:TAIR;Acc:AT3G07215]		otherRNA
AT5G08125			otherRNA
AT2G05518	Unknown gene [Source:TAIR;Acc:AT2G05518]		otherRNA
AT3G41761	other RNA [Source:TAIR;Acc:AT3G41761]		otherRNA
AT3G06962	other RNA [Source:TAIR;Acc:AT3G06962]		otherRNA
AT3G05152	other RNA [Source:TAIR;Acc:AT3G05152]		otherRNA
AT1G08253			otherRNA
AT3G44765	other RNA [Source:TAIR;Acc:AT3G44765]		otherRNA
AT3G15536	Unknown gene [Source:TAIR;Acc:AT3G15536]		otherRNA
AT2G06562	other RNA [Source:TAIR;Acc:AT2G06562]		otherRNA
AT1G09073			otherRNA
AT2G15292	Unknown gene [Source:TAIR;Acc:AT2G15292]		otherRNA
AT4G04223	other RNA [Source:TAIR;Acc:AT4G04223]		otherRNA
AT1G07507			otherRNA
AT5G06955			otherRNA
AT1G46554	other RNA [Source:TAIR;Acc:AT1G46554]		otherRNA
AT2G06002	other RNA [Source:TAIR;Acc:AT2G06002]		otherRNA
AT5G33399			otherRNA
AT1G50659			otherRNA
AT3G12965	other RNA [Source:TAIR;Acc:AT3G12965]		otherRNA
AT1G05697			otherRNA
AT3G26612	other RNA [Source:TAIR;Acc:AT3G26612]		otherRNA
AT1G04867			otherRNA
AT2G08610			otherRNA
AT3G27884	other RNA [Source:TAIR;Acc:AT3G27884]		otherRNA
AT2G27400	TAS1A; other RNA [Source:TAIR;Acc:AT2G27400]	TAS1A	otherRNA
AT1G52347	other RNA [Source:TAIR;Acc:AT1G52347]		otherRNA
AT1G64563	other RNA [Source:TAIR;Acc:AT1G64563]		otherRNA
AT2G24735	Unknown gene [Source:TAIR;Acc:AT2G24735]		otherRNA
AT2G21188	other RNA [Source:TAIR;Acc:AT2G21188]		otherRNA
AT3G06125	other RNA [Source:TAIR;Acc:AT3G06125]		otherRNA
AT2G32795	other RNA [Source:TAIR;Acc:AT2G32795]		otherRNA
AT4G06701	other RNA [Source:TAIR;Acc:AT4G06701]		otherRNA
AT4G31408	other RNA [Source:TAIR;Acc:AT4G31408]		otherRNA
AT3G53365	Unknown gene [Source:TAIR;Acc:AT3G53365]		otherRNA
AT1G06797			otherRNA
AT5G40316	other RNA [Source:TAIR;Acc:AT5G40316]		otherRNA
AT2G43375	other RNA [Source:TAIR;Acc:AT2G43375]		otherRNA
AT2G09475			otherRNA
AT1G43765	other RNA [Source:TAIR;Acc:AT1G43765]		otherRNA
AT3G61118	other RNA [Source:TAIR;Acc:AT3G61118]		otherRNA
AT5G45475	Potential natural antisense gene, locus overlaps with AT5G45480 [Source:TAIR;Acc:AT5G45475]		otherRNA
AT2G05685			otherRNA
AT2G07042	other RNA [Source:TAIR;Acc:AT2G07042]		otherRNA
AT1G16635			otherRNA
AT2G07405			otherRNA
AT2G22482			otherRNA
AT2G18440	GUT15 (GENE WITH UNSTABLE TRANSCRIPT 15); other RNA [Source:TAIR;Acc:AT2G18440]	GUT15	otherRNA
AT1G11185	other RNA [Source:TAIR;Acc:AT1G11185]		otherRNA
AT4G05905			otherRNA
AT5G00885			otherRNA
AT1G05547			otherRNA
AT5G44569			otherRNA
AT2G39675	TAS1C; other RNA [Source:TAIR;Acc:AT2G39675]	TAS1C	otherRNA
AT1G08493			otherRNA
AT1G09277			otherRNA
AT1G22403	other RNA [Source:TAIR;Acc:AT1G22403]		otherRNA
AT3G55485			otherRNA
AT5G48412			otherRNA
AT3G60972	other RNA [Source:TAIR;Acc:AT3G60972]		otherRNA
AT2G09365			otherRNA
AT4G16355	other RNA [Source:TAIR;Acc:AT4G16355]		otherRNA
AT4G03038	other RNA [Source:TAIR;Acc:AT4G03038]		otherRNA
AT1G67105	other RNA [Source:TAIR;Acc:AT1G67105]		otherRNA
AT2G41312	other RNA [Source:TAIR;Acc:AT2G41312]		otherRNA
AT3G18362	other RNA [Source:TAIR;Acc:AT3G18362]		otherRNA
AT2G04705			otherRNA
AT1G52615	unknown gene [Source:TAIR;Acc:AT1G52615]		otherRNA
AT2G30115	Unknown gene [Source:TAIR;Acc:AT2G30115]		otherRNA
AT5G07322	other RNA [Source:TAIR;Acc:AT5G07322]		otherRNA
AT5G06165			otherRNA
AT5G02825			otherRNA
AT5G57735	tasiR-ARF; other RNA [Source:TAIR;Acc:AT5G57735]	TASIR-ARF	otherRNA
AT1G57835	unknown gene [Source:TAIR;Acc:AT1G57835]		otherRNA
AT1G68872	Unknown gene [Source:TAIR;Acc:AT1G68872]		otherRNA
AT5G50190	Unknown gene [Source:TAIR;Acc:AT5G50190]		otherRNA
AT3G54366	Unknown gene [Source:TAIR;Acc:AT3G54366]		otherRNA
AT1G69252	other RNA [Source:TAIR;Acc:AT1G69252]		otherRNA
AT2G31585	other RNA [Source:TAIR;Acc:AT2G31585]		otherRNA
AT2G46192	other RNA [Source:TAIR;Acc:AT2G46192]		otherRNA
AT2G01422			otherRNA
AT2G05995	other RNA [Source:TAIR;Acc:AT2G05995]		otherRNA
AT3G41768	rRNA [Source:TAIR;Acc:AT3G41768]		rRNA
AT4G03935	other RNA [Source:TAIR;Acc:AT4G03935]		otherRNA
ATCG00950	chloroplast-encoded 23S ribosomal RNA [Source:TAIR;Acc:ATCG00950]	RRN23S.1	rRNA
ATCG01180	chloroplast-encoded 23S ribosomal RNA [Source:TAIR;Acc:ATCG01180]	RRN23S.2	rRNA
AT3G41979	rRNA [Source:TAIR;Acc:AT3G41979]		rRNA
ATMG00020	mitochondrial 26S ribosomal RNA protein [Source:TAIR;Acc:ATMG00020]	RRN26	rRNA
AT2G01020	rRNA [Source:TAIR;Acc:AT2G01020]		rRNA
ATCG01170	chloroplast-encoded 4.5S ribosomal RNA, which is part of the 50S large ribosomal subunit in plastids [Source:TAIR;Acc:ATCG01170]	RRN4.5S.2	rRNA
ATCG00920	chloroplast-encoded 16S ribosomal RNA [Source:TAIR;Acc:ATCG00920]	RRN16S.1	rRNA
ATMG01390	Mitochondrial 18S ribosomal RNA, which is a component of the 30S small subunit of mitochondrial ribosome. The rRNA is degraded by a polynucleotide phosphorylase-like protein (AtmtPNPase). [Source:TAIR;Acc:ATMG01390]	RRN18	rRNA
ATCG01210	chloroplast-encoded 16S ribosomal RNA [Source:TAIR;Acc:ATCG01210]	RRN16S.2	rRNA
ATCG01160	Chloroplast-encoded 5S ribosomal RNA, which is a component of the 50S large subunit of the plastidic ribosome. [Source:TAIR;Acc:ATCG01160]	RRN5S	rRNA
ATCG00970	chloroplast-encoded 5S ribosomal RNA [Source:TAIR;Acc:ATCG00970]	RRN5S	rRNA
ATMG01380	Mitochondrial 5S ribosomal RNA, which is a component of the 50S large subunit of mitochondrial ribosome. [Source:TAIR;Acc:ATMG01380]	RRN5	rRNA
AT2G01010	rRNA [Source:TAIR;Acc:AT2G01010]		rRNA
ATCG00960	Chloroplast-encoded 4.5S ribosomal RNA, which is a constituent of the 50S large subunit of plastidic ribosome. [Source:TAIR;Acc:ATCG00960]	RRN4.5S.1	rRNA
AT4G18725	pre-tRNA [Source:TAIR;Acc:AT4G18725]		tRNA
AT1G61910	pre-tRNA [Source:TAIR;Acc:AT1G61910]		tRNA
AT1G56940	pre-tRNA [Source:TAIR;Acc:AT1G56940]		tRNA
ATMG00800	A mitochondrial gene that encodes a glutamate-accepting tRNA whose transcription is regulated by the nuclear encoded sigma factor, Sig2. [Source:TAIR;Acc:ATMG00800]	TRNE	tRNA
AT3G63003	pre-tRNA [Source:TAIR;Acc:AT3G63003]		tRNA
AT1G56990	pre-tRNA [Source:TAIR;Acc:AT1G56990]		tRNA
AT2G45020	pre-tRNA [Source:TAIR;Acc:AT2G45020]		tRNA
AT5G02505	pre-tRNA [Source:TAIR;Acc:AT5G02505]		tRNA
AT1G10440	pre-tRNA [Source:TAIR;Acc:AT1G10440]		tRNA
AT3G46585	pre-tRNA [Source:TAIR;Acc:AT3G46585]		tRNA
AT1G61880	pre-tRNA [Source:TAIR;Acc:AT1G61880]		tRNA
AT1G05980	pre-tRNA [Source:TAIR;Acc:AT1G05980]		tRNA
AT2G22220	pre-tRNA [Source:TAIR;Acc:AT2G22220]		tRNA
AT1G57170	pre-tRNA [Source:TAIR;Acc:AT1G57170]		tRNA
AT1G48080	pre-tRNA [Source:TAIR;Acc:AT1G48080]		tRNA
AT1G60580	pre-tRNA [Source:TAIR;Acc:AT1G60580]		tRNA
AT2G17810	pre-tRNA [Source:TAIR;Acc:AT2G17810]		tRNA
AT4G16465	pre-tRNA [Source:TAIR;Acc:AT4G16465]		tRNA
AT3G05835	pre-tRNA [Source:TAIR;Acc:AT3G05835]		tRNA
AT1G80430	pre-tRNA [Source:TAIR;Acc:AT1G80430]		tRNA
AT5G58495	pre-tRNA [Source:TAIR;Acc:AT5G58495]		tRNA
AT1G60910	pre-tRNA [Source:TAIR;Acc:AT1G60910]		tRNA
AT1G56760	pre-tRNA [Source:TAIR;Acc:AT1G56760]		tRNA
AT5G09345	pre-tRNA [Source:TAIR;Acc:AT5G09345]		tRNA
AT5G49435	pre-tRNA [Source:TAIR;Acc:AT5G49435]		tRNA
AT1G09110	pre-tRNA [Source:TAIR;Acc:AT1G09110]		tRNA
AT1G74610	pre-tRNA [Source:TAIR;Acc:AT1G74610]		tRNA
AT5G43535	pre-tRNA [Source:TAIR;Acc:AT5G43535]		tRNA
AT2G30850	pre-tRNA [Source:TAIR;Acc:AT2G30850]		tRNA
AT1G56970	pre-tRNA [Source:TAIR;Acc:AT1G56970]		tRNA
AT1G04720	pre-tRNA [Source:TAIR;Acc:AT1G04720]		tRNA
AT5G27715	pre-tRNA [Source:TAIR;Acc:AT5G27715]		tRNA
AT3G51265	pre-tRNA [Source:TAIR;Acc:AT3G51265]		tRNA
AT5G35605	pre-tRNA [Source:TAIR;Acc:AT5G35605]		tRNA
AT1G13010	pre-tRNA [Source:TAIR;Acc:AT1G13010]		tRNA
ATCG00880	tRNA-Leu [Source:TAIR;Acc:ATCG00880]	TRNL.2	tRNA
AT2G16240	pre-tRNA [Source:TAIR;Acc:AT2G16240]		tRNA
ATCG00410	chloroplast TRNF [Source:TAIR;Acc:ATCG00410]	TRNF	tRNA
AT1G45238	pre-tRNA [Source:TAIR;Acc:AT1G45238]		tRNA
AT3G16552	pre-tRNA [Source:TAIR;Acc:AT3G16552]		tRNA
AT5G14495	pre-tRNA [Source:TAIR;Acc:AT5G14495]		tRNA
AT1G57370	pre-tRNA [Source:TAIR;Acc:AT1G57370]		tRNA
AT1G57480	pre-tRNA [Source:TAIR;Acc:AT1G57480]		tRNA
AT4G03135	pre-tRNA [Source:TAIR;Acc:AT4G03135]		tRNA
AT2G35220	pre-tRNA [Source:TAIR;Acc:AT2G35220]		tRNA
ATMG09450			tRNA
AT3G02315	pre-tRNA [Source:TAIR;Acc:AT3G02315]		tRNA
AT1G56980	pre-tRNA [Source:TAIR;Acc:AT1G56980]		tRNA
AT1G70050	pre-tRNA [Source:TAIR;Acc:AT1G70050]		tRNA
AT3G30345	pre-tRNA [Source:TAIR;Acc:AT3G30345]		tRNA
AT5G66568	pre-tRNA [Source:TAIR;Acc:AT5G66568]		tRNA
AT1G28730	pre-tRNA [Source:TAIR;Acc:AT1G28730]		tRNA
ATMG00420	tRNA-Ser [Source:TAIR;Acc:ATMG00420]	TRNS.3	tRNA
AT4G25435	pre-tRNA [Source:TAIR;Acc:AT4G25435]		tRNA
AT3G12585	pre-tRNA [Source:TAIR;Acc:AT3G12585]		tRNA
AT3G52285	pre-tRNA [Source:TAIR;Acc:AT3G52285]		tRNA
AT3G18815	pre-tRNA [Source:TAIR;Acc:AT3G18815]		tRNA
AT5G07625	pre-tRNA [Source:TAIR;Acc:AT5G07625]		tRNA
AT1G45246	pre-tRNA [Source:TAIR;Acc:AT1G45246]		tRNA
AT4G16475	pre-tRNA [Source:TAIR;Acc:AT4G16475]		tRNA
AT1G08870	pre-tRNA [Source:TAIR;Acc:AT1G08870]		tRNA
AT3G15585	pre-tRNA [Source:TAIR;Acc:AT3G15585]		tRNA
AT1G56830	pre-tRNA [Source:TAIR;Acc:AT1G56830]		tRNA
AT1G73900	pre-tRNA [Source:TAIR;Acc:AT1G73900]		tRNA
AT4G39615	pre-tRNA [Source:TAIR;Acc:AT4G39615]		tRNA
AT4G24025	pre-tRNA [Source:TAIR;Acc:AT4G24025]		tRNA
AT1G07760	pre-tRNA [Source:TAIR;Acc:AT1G07760]		tRNA
AT5G56745	pre-tRNA [Source:TAIR;Acc:AT5G56745]		tRNA
AT1G57140	pre-tRNA [Source:TAIR;Acc:AT1G57140]		tRNA
AT4G31695	pre-tRNA [Source:TAIR;Acc:AT4G31695]		tRNA
AT1G22320	pre-tRNA [Source:TAIR;Acc:AT1G22320]		tRNA
AT5G59945	pre-tRNA [Source:TAIR;Acc:AT5G59945]		tRNA
AT1G16450	pre-tRNA [Source:TAIR;Acc:AT1G16450]		tRNA
AT1G59880	pre-tRNA [Source:TAIR;Acc:AT1G59880]		tRNA
AT1G28820	pre-tRNA [Source:TAIR;Acc:AT1G28820]		tRNA
AT1G49690	pre-tRNA [Source:TAIR;Acc:AT1G49690]		tRNA
AT1G57060	pre-tRNA [Source:TAIR;Acc:AT1G57060]		tRNA
AT1G63510	pre-tRNA [Source:TAIR;Acc:AT1G63510]		tRNA
AT5G15815	pre-tRNA [Source:TAIR;Acc:AT5G15815]		tRNA
AT1G68950	pre-tRNA [Source:TAIR;Acc:AT1G68950]		tRNA
AT1G28900	pre-tRNA [Source:TAIR;Acc:AT1G28900]		tRNA
ATCG01290	tRNA-Ile [Source:TAIR;Acc:ATCG01290]	TRNI.4	tRNA
AT4G39195	pre-tRNA [Source:TAIR;Acc:AT4G39195]		tRNA
AT1G57300	pre-tRNA [Source:TAIR;Acc:AT1G57300]		tRNA
AT2G15950	pre-tRNA [Source:TAIR;Acc:AT2G15950]		tRNA
ATCG00060	tRNA-Gln [Source:TAIR;Acc:ATCG00060]	TRNQ	tRNA
AT5G63145	pre-tRNA [Source:TAIR;Acc:AT5G63145]		tRNA
AT2G36510	pre-tRNA [Source:TAIR;Acc:AT2G36510]		tRNA
AT4G28915	pre-tRNA [Source:TAIR;Acc:AT4G28915]		tRNA
AT2G25400	pre-tRNA [Source:TAIR;Acc:AT2G25400]		tRNA
AT1G45240	pre-tRNA [Source:TAIR;Acc:AT1G45240]		tRNA
AT5G11475	pre-tRNA [Source:TAIR;Acc:AT5G11475]		tRNA
AT1G74570	pre-tRNA [Source:TAIR;Acc:AT1G74570]		tRNA
AT5G23665	pre-tRNA [Source:TAIR;Acc:AT5G23665]		tRNA
AT2G02600	pre-tRNA [Source:TAIR;Acc:AT2G02600]		tRNA
AT2G33660	pre-tRNA [Source:TAIR;Acc:AT2G33660]		tRNA
ATMG00340	tRNA-Tyr [Source:TAIR;Acc:ATMG00340]	TRNY.1	tRNA
AT5G53487	pre-tRNA [Source:TAIR;Acc:AT5G53487]		tRNA
AT1G01870	pre-tRNA [Source:TAIR;Acc:AT1G01870]		tRNA
AT5G02385	pre-tRNA [Source:TAIR;Acc:AT5G02385]		tRNA
AT4G31075	pre-tRNA [Source:TAIR;Acc:AT4G31075]		tRNA
AT4G32475	pre-tRNA [Source:TAIR;Acc:AT4G32475]		tRNA
AT3G25715	pre-tRNA [Source:TAIR;Acc:AT3G25715]		tRNA
AT2G07754	pre-tRNA [Source:TAIR;Acc:AT2G07754]		tRNA
AT1G79240	pre-tRNA [Source:TAIR;Acc:AT1G79240]		tRNA
AT1G30430	pre-tRNA [Source:TAIR;Acc:AT1G30430]		tRNA
AT1G28950	pre-tRNA [Source:TAIR;Acc:AT1G28950]		tRNA
ATMG00380	tRNA-Asn [Source:TAIR;Acc:ATMG00380]	TRNN	tRNA
AT5G66535	pre-tRNA [Source:TAIR;Acc:AT5G66535]		tRNA
AT4G11216	pre-tRNA [Source:TAIR;Acc:AT4G11216]		tRNA
ATCG01200	tRNA-Ile [Source:TAIR;Acc:ATCG01200]	TRNI.3	tRNA
AT5G39535	pre-tRNA [Source:TAIR;Acc:AT5G39535]		tRNA
AT5G41605	pre-tRNA [Source:TAIR;Acc:AT5G41605]		tRNA
AT2G07794	pre-tRNA [Source:TAIR;Acc:AT2G07794]		tRNA
AT5G66755	pre-tRNA [Source:TAIR;Acc:AT5G66755]		tRNA
AT4G39865	pre-tRNA [Source:TAIR;Acc:AT4G39865]		tRNA
AT5G59395	pre-tRNA [Source:TAIR;Acc:AT5G59395]		tRNA
AT1G26430	pre-tRNA [Source:TAIR;Acc:AT1G26430]		tRNA
AT1G13840	pre-tRNA [Source:TAIR;Acc:AT1G13840]		tRNA
ATCG00990	tRNA-Asn [Source:TAIR;Acc:ATCG00990]	TRNN.1	tRNA
AT1G21420	pre-tRNA [Source:TAIR;Acc:AT1G21420]		tRNA
AT5G03445	pre-tRNA [Source:TAIR;Acc:AT5G03445]		tRNA
AT2G30190	pre-tRNA [Source:TAIR;Acc:AT2G30190]		tRNA
AT4G20115	pre-tRNA [Source:TAIR;Acc:AT4G20115]		tRNA
AT1G57500	pre-tRNA [Source:TAIR;Acc:AT1G57500]		tRNA
AT4G11177	pre-tRNA [Source:TAIR;Acc:AT4G11177]		tRNA
AT5G46325	pre-tRNA [Source:TAIR;Acc:AT5G46325]		tRNA
AT1G57120	pre-tRNA [Source:TAIR;Acc:AT1G57120]		tRNA
AT5G56365	pre-tRNA [Source:TAIR;Acc:AT5G56365]		tRNA
AT3G07025	pre-tRNA [Source:TAIR;Acc:AT3G07025]		tRNA
AT1G11640	pre-tRNA [Source:TAIR;Acc:AT1G11640]		tRNA
AT5G20856	pre-tRNA [Source:TAIR;Acc:AT5G20856]		tRNA
AT3G12385	pre-tRNA [Source:TAIR;Acc:AT3G12385]		tRNA
AT3G61545	pre-tRNA [Source:TAIR;Acc:AT3G61545]		tRNA
AT3G51135	pre-tRNA [Source:TAIR;Acc:AT3G51135]		tRNA
ATMG00100	tRNA-Lys [Source:TAIR;Acc:ATMG00100]	TRNK.1	tRNA
AT1G79290	pre-tRNA [Source:TAIR;Acc:AT1G79290]		tRNA
AT2G36860	pre-tRNA [Source:TAIR;Acc:AT2G36860]		tRNA
AT2G07766	pre-tRNA [Source:TAIR;Acc:AT2G07766]		tRNA
AT2G33140	pre-tRNA [Source:TAIR;Acc:AT2G33140]		tRNA
AT5G05795	pre-tRNA [Source:TAIR;Acc:AT5G05795]		tRNA
AT1G15450	pre-tRNA [Source:TAIR;Acc:AT1G15450]		tRNA
AT1G60840	pre-tRNA [Source:TAIR;Acc:AT1G60840]		tRNA
